AphiaID_accepted,ScientificName_accepted,obis_records,inf_epi,plank_larv,Bedrock,Cobbles,Large_VLarge_Boulders,Small_Boulders,Mud,Muddy_gravel,Muddy_sand,Sandy_mud,Coarse_sand,Fine_sand,Other_species,Pebbles,Artificial,Caves,Overhangs,Gravel_shingle,Algae,Mixed,Salt_marsh,Seagrass,Biogenic_reef,Under_boulders,Crevices,Rockpools,Pelagic,Mud_grav_sand,Sand_grav_mud,Maerl,Clay,Gravel_sand,Mud_sand_gravel,Strandline,biotic_SpeciesName,biotic_AphiaID,Phylum,Class,Order,Family
117870,Abietinaria abietina,3044,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abietinaria abietina,117870,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae
141433,Abra alba,53938,Infaunal,Yes,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abra alba,141433,Mollusca,Bivalvia,Cardiida,Semelidae
100930,Actinauge richardi,973,Epifaunal,Unknown,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actinauge richardi,100930,Cnidaria,Anthozoa,Actiniaria,Hormathiidae
445590,Adamsia palliata,863,Epifaunal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adamsia carciniopados,100931,Cnidaria,Anthozoa,Actiniaria,Hormathiidae
111597,Alcyonidium diaphanum,4869,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcyonidium diaphanum,111597,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae
129769,Alkmaria romijni,2337,Infaunal,Yes,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alkmaria romijni,129769,Annelida,Polychaeta,Terebellida,Ampharetidae
101891,Ampelisca brevicornis,12960,Both,No,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ampelisca brevicornis,101891,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae
101896,Ampelisca diadema,4152,Epifaunal,No,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ampelisca diadema,101896,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae
101930,Ampelisca tenuicornis,9954,Epifaunal,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ampelisca tenuicornis,101930,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae
129777,Ampharete falcata,1917,Infaunal,No,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ampharete falcata,129777,Annelida,Polychaeta,Terebellida,Ampharetidae
100936,Amphianthus dohrnii,40,Epifaunal,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphianthus dohrnii,100936,Cnidaria,Anthozoa,Actiniaria,Amphianthidae
125064,Amphipholis squamata,14592,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphipholis squamata,125064,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae
125073,Amphiura chiajei,10270,Infaunal,Yes,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphiura chiajei,125073,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae
125080,Amphiura filiformis,22073,Infaunal,Yes,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphiura filiformis,125080,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae
124201,Antedon bifida,1004,Epifaunal,Yes,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Antedon bifida,124201,Echinodermata,Crinoidea,Comatulida,Antedonidae
129938,Aphelochaeta marioni,13221,Infaunal,Yes,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aphelochaeta marioni,129938,Annelida,Polychaeta,Terebellida,Cirratulidae
129840,Aphrodita aculeata,6006,Infaunal,Yes,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aphrodita aculeata,129840,Annelida,Polychaeta,Phyllodocida,Aphroditidae
138760,Aporrhais pespelecani,2068,Infaunal,Yes,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aporrhais pespelecani,138760,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae
138802,Arctica islandica,20859,Infaunal,Yes,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arctica islandica,138802,Mollusca,Bivalvia,Venerida,Arcticidae
129868,Arenicola marina,10579,Infaunal,Yes,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arenicola marina,129868,Annelida,Polychaeta,NA,Arenicolidae
130485,Armandia cirrhosa,150,Infaunal,Yes,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Armandia cirrhosa,130485,Annelida,Polychaeta,NA,Opheliidae
103719,Ascidiella scabra,1630,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ascidiella scabra,103719,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae
138824,Astarte sulcata,1823,Infaunal,Yes,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Astarte sulcata,138824,Mollusca,Bivalvia,Carditida,Astartidae
123776,Asterias rubens,25389,Epifaunal,Yes,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asterias rubens,123776,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
123987,Asterina gibbosa,378,Epifaunal,Yes,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Asterina gibbosa,123987,Echinodermata,Asteroidea,Valvatida,Asterinidae
123990,Asterina phylactica,17,NA,Unknown,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asterina phylactica,123990,Echinodermata,Asteroidea,Valvatida,Asterinidae
146524,Atrina fragilis,199,Infaunal,Yes,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atrina fragilis,146524,Mollusca,Bivalvia,Ostreida,Pinnidae
132473,Axinella dissimilis,158,Epifaunal,Unknown,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Axinella dissimilis,132473,Porifera,Demospongiae,Axinellida,Axinellidae
106215,Balanus crenatus,9074,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Balanus crenatus,106215,Arthropoda,Hexanauplia,Sessilia,Balanidae
103058,Bathyporeia elegans,11154,Infaunal,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bathyporeia elegans,103058,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae
103066,Bathyporeia pelagica,1837,Infaunal,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Bathyporeia pelagica,103066,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae
100817,Bolocera tuediae,883,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bolocera tuediae,100817,Cnidaria,Anthozoa,Actiniaria,Actiniidae
103862,Botryllus schlosseri,3971,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Botryllus schlosseri,103862,Chordata,Ascidiacea,Stolidobranchia,Styelidae
124373,Brissopsis lyrifera,2817,Infaunal,Yes,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brissopsis lyrifera,124373,Echinodermata,Echinoidea,Spatangoida,Brissidae
138878,Buccinum undatum,15630,Epifaunal,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buccinum undatum,138878,Mollusca,Gastropoda,Neogastropoda,Buccinidae
834020,Bugulina turbinata,277,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bugula turbinata,111166,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae
138945,Caecum armoricum,9,Epifaunal,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caecum armoricum,138945,Mollusca,Gastropoda,Littorinimorpha,Caecidae
107729,Callianassa subterranea,3903,Infaunal,Yes,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Callianassa subterranea,107729,Arthropoda,Malacostraca,Decapoda,Callianassidae
107276,Cancer pagurus,16543,Epifaunal,Yes,1,1,NA,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cancer pagurus,107276,Arthropoda,Malacostraca,Decapoda,Cancridae
129876,Capitella capitata,21723,Infaunal,Yes,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Capitella capitata,129876,Annelida,Polychaeta,NA,Capitellidae
135144,Caryophyllia (Caryophyllia) smithii,4223,Epifaunal,Yes,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caryophyllia smithii,1288958,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae
138998,Cerastoderma edule,15230,Infaunal,Yes,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cerastoderma edule,138998,Mollusca,Bivalvia,Cardiida,Cardiidae
138999,Cerastoderma glaucum,14881,Infaunal,Yes,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cerastoderma glaucum,138999,Mollusca,Bivalvia,Cardiida,Cardiidae
283798,Cerianthus lloydii,7230,Infaunal,Yes,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cerianthus lloydii,283798,Cnidaria,Anthozoa,Spirularia,Cerianthidae
129914,Chaetopterus variopedatus,2199,Both,Yes,1,1,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chaetopterus variopedatus,129914,Annelida,Polychaeta,NA,Chaetopteridae
129955,Chaetozone setosa,18048,Infaunal,Yes,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chaetozone setosa,129955,Annelida,Polychaeta,Terebellida,Cirratulidae
106230,Chthamalus montagui,677,Epifaunal,Yes,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chthamalus montagui,106230,Arthropoda,Hexanauplia,Sessilia,Chthamalidae
106231,Chthamalus stellatus,1946,Epifaunal,Yes,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chthamalus stellatus,106231,Arthropoda,Hexanauplia,Sessilia,Chthamalidae
103732,Ciona intestinalis,3379,Epifaunal,Yes,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ciona intestinalis,103732,Chordata,Ascidiacea,Phlebobranchia,Cionidae
129959,Cirratulus cirratus,1612,Infaunal,Yes,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cirratulus cirratus,129959,Annelida,Polychaeta,Terebellida,Cirratulidae
103552,Clavelina lepadiformis,908,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clavelina lepadiformis,103552,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae
111351,Conopeum reticulum,3386,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Conopeum reticulum,111351,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae
117428,Cordylophora caspia,854,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cordylophora caspia,117428,Cnidaria,Hydrozoa,Anthoathecata,Cordylophoridae
102101,Corophium volutator,24351,Infaunal,No,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corophium volutator,102101,Arthropoda,Malacostraca,Amphipoda,Corophiidae
107552,Crangon crangon,16743,Epifaunal,Yes,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crangon crangon,107552,Arthropoda,Malacostraca,Decapoda,Crangonidae
138963,Crepidula fornicata,8119,Epifaunal,Yes,NA,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crepidula fornicata,138963,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae
103882,Dendrodoa grossularia,5810,Epifaunal,Yes,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dendrodoa grossularia,103882,Chordata,Ascidiacea,Stolidobranchia,Styelidae
107643,Dichelopandalus bonnieri,433,Epifaunal,Yes,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dichelopandalus bonnieri,107643,Arthropoda,Malacostraca,Decapoda,Pandalidae
103890,Distomus variolosus,213,Epifaunal,Yes,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distomus variolosus,103890,Chordata,Ascidiacea,Stolidobranchia,Styelidae
130987,Ditrupa arietina,1339,Both,Yes,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,Ditrupa arietina,130987,Annelida,Polychaeta,Sabellida,Serpulidae
124392,Echinocardium cordatum,19265,Infaunal,Yes,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinocardium cordatum,124392,Echinodermata,Echinoidea,Spatangoida,Loveniidae
124273,Echinocyamus pusillus,15166,Infaunal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinocyamus pusillus,124273,Echinodermata,Echinoidea,Clypeasteroida,Fibulariidae
100888,Edwardsia ivelli,3,Infaunal,Unknown,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Edwardsia ivelli,100888,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae
111355,Electra pilosa,9427,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Electra pilosa,111355,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae
140733,Ensis ensis,2191,Infaunal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ensis ensis,140733,Mollusca,Bivalvia,Adapedonta,Pharidae
118852,Eurydice pulchra,2948,Infaunal,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurydice pulchra,118852,Arthropoda,Malacostraca,Isopoda,Cirolanidae
111367,Flustra foliacea,9380,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flustra foliacea,111367,Bryozoa,Gymnolaemata,Cheilostomatida,Flustridae
102280,Gammarus insensibilis,189,Epifaunal,No,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gammarus insensibilis,102280,Arthropoda,Malacostraca,Amphipoda,Gammaridae
102292,Gammarus salinus,7258,Epifaunal,No,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gammarus salinus,102292,Arthropoda,Malacostraca,Amphipoda,Gammaridae
165801,Halichondria (Halichondria) bowerbanki,386,Epifaunal,Unknown,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Halichondria bowerbanki,132588,Porifera,Demospongiae,Suberitida,Halichondriidae
165853,Halichondria (Halichondria) panicea,3890,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Halichondria panicea,132627,Porifera,Demospongiae,Suberitida,Halichondriidae
152302,Hediste diversicolor,45297,Infaunal,Yes,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hediste diversicolor,152302,Annelida,Polychaeta,Phyllodocida,Nereididae
147459,Patella pellucida,487,Epifaunal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Helcion pellucidum,162669,Mollusca,Gastropoda,NA,Patellidae
